state,suburb,postcode,latitude,longitude
NSW,Ballina,2478,-28.83167,153.53444
NSW,Ballyroe,2795,-34.04833,149.56778
NSW,Balmain,2041,-33.84833,151.16778
NSW,Balmain East,2041,-33.84833,151.18444
NSW,Balmoral,2283,-33.05389,151.58167
NSW,Balranald,2715,-34.63167,143.56778
NSW,Bamarang,2540,-34.89833,150.51778
NSW,Banda Banda,2446,-31.19,152.45111
NSW,Bandon Grove,2420,-32.26694,151.69778
NSW,Bangadang,2729,-35.24861,147.95417
NSW,Bangalee,2541,-34.84833,150.51778
NSW,Bangalow,2479,-28.68167,153.51778
NSW,Banksia,2216,-33.94833,151.14278
NSW,Banksmeadow,2019,-33.965,151.21778
NSW,Bankstown,2200,-33.92333,151.03444
NSW,Bankstown Aerodrome,2200,-33.92333,150.99
NSW,Bannaby,2580,-34.415,150.00111
NSW,Bannister,2580,-34.59833,149.49278
NSW,Banoon,2347,-30.54833,150.37611
NSW,Banora Point,2486,-28.2225,153.53861
NSW,Banyabba,2469,-29.34833,153.01778
NSW,Bar Beach,2300,-32.94,151.76778
NSW,Bar Point,2083,-33.49278,151.16778
NSW,Baradine,2396,-30.94833,149.06778
NSW,Baraimal,2470,-28.715,152.98444
NSW,Barcoongere,2460,-29.93167,153.21778
NSW,Barden Ridge,2234,-34.015,151.00111
NSW,Bardwell Park,2207,-33.94,151.13444
NSW,Bardwell Valley,2207,-33.93694,151.13306
NSW,Barellan,2665,-34.28167,146.56778
NSW,Bargo,2574,-34.29833,150.58444
NSW,Barham,2732,-35.63167,144.11778
NSW,Barkers Vale,2474,-28.53639,153.12056
NSW,Barmedman,2668,-34.14833,147.38444
NSW,Barnsley,2278,-32.93167,151.58444
NSW,Barraba,2347,-30.38167,150.61778
NSW,Barrack Heights,2528,-34.565,150.85111
NSW,Barrack Point,2528,-34.565,150.86778
NSW,Barraganyatti,2441,-30.85667,152.93444
NSW,Barragga Bay,2546,-36.50389,150.05417
